,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
42,CRI,Costa Rica,San José,9.935,-84.0841,4463000,4521000,4577000,4633000,4688000,4742000,4795000,4848000,4899000,4950000,4999000,5048000
43,CUB,Cuba,Havana,23.131999999999998,-82.3642,11237000,11227000,11226000,11237000,11257000,11283000,11307000,11325000,11335000,11339000,11338000,11333000
44,CUW,Curaçao,Willemstad,12.2004,-69.02,141000,145000,149000,152000,155000,157000,158000,160000,161000,162000,163000,163000
45,CYP,Cyprus,Nicosia,35.1667,33.3666,1082000,1098000,1113000,1125000,1135000,1144000,1152000,1161000,1170000,1180000,1189000,1199000
46,CZE,Czechia,Prague,50.0833,14.466,10425000,10488000,10537000,10567000,10581000,10587000,10591000,10601000,10619000,10641000,10666000,10689000
47,DEU,Germany,Berlin,52.5218,13.4015,81066000,80900000,80827000,80856000,80973000,81174000,81450000,81787000,82194000,82658000,83124000,83517000
48,DJI,Djibouti,Djibouti,11.595,43.148,816000,828000,840000,854000,868000,883000,899000,914000,929000,944000,959000,974000
49,DMA,Dominica,Roseau,15.300999999999998,-61.387,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,72000,72000
50,DNK,Denmark,Copenhagen,55.6786,12.5635,5498000,5526000,5555000,5583000,5611000,5638000,5664000,5689000,5711000,5732000,5752000,5772000
51,DOM,Dominican Republic,Santo Domingo,18.4701,-69.9001,9458000,9577000,9695000,9813000,9931000,10048000,10165000,10282000,10398000,10513000,10627000,10739000
52,DZA,Algeria,Algiers,36.7631,3.0506,34731000,35334000,35977000,36661000,37384000,38140000,38924000,39728000,40551000,41389000,42228000,43053000
53,ECU,Ecuador,Quito,-0.215,-78.5001,14536000,14774000,15011000,15244000,15474000,15707000,15952000,16212000,16491000,16785000,17084000,17374000
54,EGY,Egypt,Cairo,30.05,31.25,79636000,81135000,82761000,84529000,86422000,88405000,90425000,92443000,94447000,96443000,98424000,100388000
55,ERI,Eritrea,Asmara,15.3333,38.9333,3063000,3120000,3170000,3214000,3250000,3281000,3311000,3343000,3377000,3413000,3453000,3497000
