,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
186,UGA,Uganda,Kampala,0.3167,32.5833,30432000,31411000,32428000,33477000,34559000,35695000,36912000,38225000,39649000,41167000,42729000,44270000
187,UKR,Ukraine,Kyiv,50.4334,30.5166,46159000,45971000,45792000,45620000,45454000,45287000,45112000,44922000,44714000,44488000,44246000,43994000
188,URY,Uruguay,Montevideo,-34.858000000000004,-56.1711,3340000,3350000,3359000,3369000,3379000,3389000,3400000,3412000,3424000,3437000,3449000,3462000
189,USA,United States,Washington,38.9047,-77.0163,303486016,306308000,309011008,311584000,314044000,316400992,318672992,320878016,323016000,325084992,327096000,329064992
190,UZB,Uzbekistan,Tashkent,41.3117,69.2949,27627000,28065000,28516000,28977000,29449000,29933000,30426000,30930000,31442000,31960000,32476000,32982000
191,VCT,Saint Vincent And The Grenadines,Kingstown,13.1483,-61.2121,108000,108000,108000,108000,108000,109000,109000,109000,109000,110000,110000,111000
192,VEN,Venezuela,Caracas,10.501,-66.917,27636000,28031000,28440000,28888000,29361000,29781000,30043000,30082000,29851000,29402000,28887000,28516000
193,VNM,Vietnam,Hanoi,21.0333,105.85,86243000,87092000,87968000,88871000,89802000,90753000,91714000,92677000,93640000,94601000,95546000,96462000
194,VUT,Vanuatu,Port-Vila,-17.7334,168.3166,225000,230000,236000,243000,250000,257000,264000,271000,278000,285000,293000,300000
195,WSM,Samoa,Apia,-13.8415,-171.739,183000,185000,186000,187000,189000,191000,192000,194000,195000,195000,196000,197000
196,YEM,Yemen,Sanaa,15.3547,44.2066,21892000,22516000,23155000,23808000,24473000,25147000,25823000,26498000,27168000,27835000,28499000,29162000
197,ZAF,South Africa,Pretoria,-25.7069,28.2294,49779000,50477000,51217000,52004000,52833000,53687000,54544000,55386000,56208000,57010000,57793000,58558000
198,ZMB,Zambia,Lusaka,-15.4166,28.2833,12849000,13215000,13606000,14023000,14465000,14927000,15400000,15879000,16363000,16854000,17352000,17861000
199,ZWE,Zimbabwe,Harare,-17.8178,31.0447,12380000,12527000,12698000,12894000,13115000,13350000,13587000,13815000,14030000,14237000,14439000,14645000
