origin,destination,amount
EGY,SDN,71790900000
CHN,AFG,17360000000
RUS,NOR,475300000
IDN,TLS,552900000
IRN,IRQ,16532100000
CIV,LBR,1610600000
DZA,LBY,492700000
DZA,MRT,6332900000
ETH,DJI,1897000000
ETH,ERI,3415600000
ETH,SOM,25581200000
SYR,JOR,1058900000
AUT,LIE,75600000
CMR,GNQ,1215900000
MLI,SEN,8720800000
GIN,SLE,4241000000
GIN,GNB,645800000
MOZ,ZWE,4897000000
ZAF,BWA,3793100000
ZAF,LSO,2455200000
